urn:cts:mid:catullus.61:229	ore floridulo nitens,
urn:cts:mid:catullus.61:230	alba parthenice velut
urn:cts:mid:catullus.61:231	     luteumve papaver.
urn:cts:mid:catullus.61:232	
urn:cts:mid:catullus.61:233	at, marite, ita me iuvent
urn:cts:mid:catullus.61:234	caelites, nihilo minus
urn:cts:mid:catullus.61:235	pulcer es, neque te Venus
urn:cts:mid:catullus.61:236	neglegit. sed abit dies:
urn:cts:mid:catullus.61:237	     perge, ne remorare.
urn:cts:mid:catullus.61:238	
urn:cts:mid:catullus.61:239	non diu remoratus es:
urn:cts:mid:catullus.61:240	iam venis. bona te Venus
urn:cts:mid:catullus.61:241	iuuerit, quoniam palam
urn:cts:mid:catullus.61:242	quod cupis cupis, et bonum
urn:cts:mid:catullus.61:243	     non abscondis amorem.
urn:cts:mid:catullus.61:244	
urn:cts:mid:catullus.61:245	ille pulueris Africi
urn:cts:mid:catullus.61:246	siderumque micantium
urn:cts:mid:catullus.61:247	subducat numerum prius,
urn:cts:mid:catullus.61:248	qui vestri numerare vult
urn:cts:mid:catullus.61:249	     multa milia ludi.
urn:cts:mid:catullus.61:250	
urn:cts:mid:catullus.61:251	ludite ut lubet, et brevi
urn:cts:mid:catullus.61:252	liberos date. non decet
urn:cts:mid:catullus.61:253	tam vetus sine liberis
urn:cts:mid:catullus.61:254	nomen esse, sed indidem
urn:cts:mid:catullus.61:255	     semper ingenerari.
urn:cts:mid:catullus.61:256	
urn:cts:mid:catullus.61:257	Torquatus volo parvulus
urn:cts:mid:catullus.61:258	matris e gremio suae
urn:cts:mid:catullus.61:259	porrigens teneras manus
urn:cts:mid:catullus.61:260	dulce rideat ad patrem
urn:cts:mid:catullus.61:261	     semihiante labello.
urn:cts:mid:catullus.61:262	
urn:cts:mid:catullus.61:263	sit suo similis patri
urn:cts:mid:catullus.61:264	Manlio et facile insciis
urn:cts:mid:catullus.61:265	noscitetur ab omnibus,
urn:cts:mid:catullus.61:266	et pudicitiam suae
urn:cts:mid:catullus.61:267	     matris indicet ore.
urn:cts:mid:catullus.61:268	
urn:cts:mid:catullus.61:269	talis illius a bona
urn:cts:mid:catullus.61:270	matre laus genus approbet,
urn:cts:mid:catullus.61:271	qualis unica ab optima
urn:cts:mid:catullus.61:272	matre Telemacho manet
urn:cts:mid:catullus.61:273	     fama Penelopeo.
urn:cts:mid:catullus.61:274	
urn:cts:mid:catullus.61:275	claudite ostia, virgines:
urn:cts:mid:catullus.61:276	lusimus satis. at boni
urn:cts:mid:catullus.61:277	coniuges, bene vivite et
urn:cts:mid:catullus.61:278	munere assiduo valentem
urn:cts:mid:catullus.61:279	     exercete iuventam.
